brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,176.0,159.8,76.1,8.1,6.39,269.0,82.4,4000.0,140.0,8.0,0.5555555555555556,1123200.0,1,1,4.0,64.0,2,4,5.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2014,140.0,146.9,70.9,8.2,5.0,294.0,66.2,2000.0,180.0,8.0,1.7777777777777777,921600.0,1,1,1.0,16.0,2,3,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2014,276.0,186.9,107.9,9.0,7.0,216.0,70.5,4000.0,240.0,4.0,1.6,1024000.0,0,1,1.5,8.0,2,1,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2014,162.5,148.4,77.4,8.6,5.5,267.0,72.6,3100.0,320.0,6.0,1.7777777777777777,921600.0,1,1,2.0,16.0,5,4,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2013,199.0,167.6,88.0,8.0,6.3,233.0,74.2,3200.0,300.0,2.0,1.7777777777777777,921600.0,1,1,1.5,8.0,3,4,4.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2021,450.0,240.2,159.0,7.9,9.7,156.0,71.4,5100.0,150.0,8.0,1.6,1024000.0,0,1,2.0,16.0,1,1,4.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,199.0,162.9,72.9,8.7,6.67,395.0,90.4,5000.0,410.0,8.0,2.2222222222222223,2592000.0,0,0,8.0,128.0,3,6,5.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2022,194.0,164.9,77.1,9.0,6.53,269.0,81.0,5000.0,83.61,8.0,2.2222222222222223,1152000.0,1,1,2.0,32.0,3,3,5.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2013,150.0,134.5,67.5,9.9,4.5,245.0,61.5,1950.0,260.0,4.0,1.7777777777777777,518400.0,1,1,1.0,4.0,2,3,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,168.0,155.3,73.9,7.9,6.3,409.0,84.9,3500.0,200.0,8.0,0.5555555555555556,2527200.0,1,0,4.0,64.0,3,5,5.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2013,114.0,118.5,62.3,9.3,4.0,233.0,61.7,1650.0,150.0,2.0,1.6666666666666667,384000.0,1,1,0.5,4.0,3,2,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,202.0,164.2,76.1,8.1,6.67,395.0,86.0,5000.0,250.0,8.0,2.2222222222222223,2592000.0,0,1,6.0,64.0,3,5,5.1,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,2015,299.0,203.2,134.8,6.1,7.9,324.0,70.6,5124.0,360.0,2.0,1.3333333333333333,3145728.0,0,1,2.0,16.0,3,5,4.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2014,126.6,127.2,66.8,9.5,4.5,207.0,67.8,2100.0,130.0,2.0,1.6666666666666667,384000.0,1,1,1.0,4.0,2,2,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,420.0,244.5,159.5,5.7,10.5,287.0,82.5,7040.0,600.0,8.0,1.6,4096000.0,0,0,4.0,64.0,3,6,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,186.0,165.0,76.7,8.4,6.6,266.0,83.1,4000.0,240.0,8.0,2.2222222222222223,1152000.0,1,1,4.0,64.0,2,4,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,173.6,166.2,76.3,8.4,6.52,269.0,80.9,4000.0,130.0,8.0,2.2222222222222223,1152000.0,1,1,4.0,64.0,1,3,4.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2017,172.0,149.2,70.6,8.4,5.6,441.0,75.6,3000.0,250.0,8.0,0.5555555555555556,2397600.0,1,1,4.0,32.0,4,6,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,148.0,146.9,71.5,8.5,5.45,295.0,73.0,3000.0,140.0,4.0,2.0,1036800.0,1,1,2.0,16.0,2,2,5.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2012,100.0,106.5,56.0,10.9,2.8,143.0,40.7,1050.0,70.0,2.0,1.3333333333333333,76800.0,1,1,0.25,0.25,2,3,2.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,179.0,152.7,69.9,8.2,6.28,419.0,89.2,4500.0,570.0,8.0,2.2222222222222223,2592000.0,0,0,8.0,128.0,4,7,5.2,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2010,126.0,112.0,56.3,11.5,3.2,180.0,48.4,1300.0,120.0,2.0,1.5,153600.0,1,1,0.375,0.375,2,3,2.1,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2011,607.0,241.2,185.7,8.8,9.7,132.0,65.1,6930.0,370.0,2.0,1.3333333333333333,786432.0,1,1,0.5,16.0,2,3,2.1,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2013,144.0,133.0,65.0,12.0,4.5,218.0,64.5,2000.0,100.0,4.0,1.7777777777777777,409920.0,1,1,0.5,4.0,1,4,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2021,178.8,160.5,74.5,8.3,6.43,409.0,83.5,5000.0,133.25,8.0,2.2222222222222223,2592000.0,0,1,4.0,64.0,3,4,5.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2023,229.0,164.0,76.4,8.9,6.8,400.0,89.1,6500.0,650.0,8.0,2.2222222222222223,2767680.0,0,1,8.0,256.0,3,6,5.3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2018,178.0,150.0,78.0,9.8,5.5,267.0,71.3,3300.0,140.0,4.0,1.7777777777777777,921600.0,1,1,3.0,32.0,3,4,4.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,2023,168.0,146.3,70.9,7.6,6.1,425.0,86.8,3900.0,582.12,8.0,0.5555555555555556,2527200.0,0,0,8.0,128.0,6,7,5.3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,195.0,158.3,75.2,9.8,6.1,282.0,76.7,5000.0,70.0,4.0,0.5555555555555556,1123200.0,1,1,2.0,32.0,3,3,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,2012,148.8,124.0,65.5,11.9,4.0,233.0,56.1,1730.0,110.0,2.0,1.6666666666666667,384000.0,1,1,0.5,4.0,1,2,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,197.0,163.5,76.5,9.0,6.63,397.0,84.8,4200.0,200.0,8.0,2.2222222222222223,2592000.0,1,1,6.0,128.0,3,5,5.1,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2022,190.0,164.1,75.9,8.8,6.52,269.0,82.4,5150.0,130.0,4.0,2.2222222222222223,1152000.0,1,1,2.0,32.0,1,2,4.2,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2015,260.0,189.0,111.0,9.1,7.0,170.0,65.7,2820.0,100.0,2.0,1.7777777777777777,614400.0,1,1,0.5,4.0,4,1,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2014,162.0,141.0,72.0,9.4,5.0,220.0,67.9,3000.0,140.0,4.0,1.7777777777777777,518400.0,1,1,1.0,4.0,8,3,4.0,0.0
