brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,188.0,165.9,76.2,8.0,6.67,395.0,85.0,5000.0,190.0,8.0,2.2222222222222223,2592000.0,1,1,4.0,128.0,3,5,5.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2016,135.0,143.8,70.2,7.9,5.0,294.0,68.3,2500.0,120.0,4.0,1.7777777777777777,921600.0,1,1,2.0,16.0,1,4,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,165.0,146.3,70.4,9.6,5.45,295.0,74.4,4000.0,130.0,8.0,2.0,1036800.0,1,1,2.0,16.0,6,3,4.2,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2012,115.0,128.0,66.9,9.3,4.3,217.0,61.5,1800.0,200.0,2.0,1.6666666666666667,384000.0,1,1,1.0,4.0,3,2,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,205.0,164.2,76.1,8.1,6.67,395.0,86.0,5000.0,195.65,8.0,2.2222222222222223,2592000.0,0,1,6.0,64.0,3,5,5.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2013,113.4,116.1,62.0,10.1,4.0,233.0,63.3,2460.0,100.0,2.0,1.6666666666666667,384000.0,1,1,1.0,4.0,3,2,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2012,147.0,126.0,66.0,13.5,4.0,233.0,54.8,1800.0,150.0,2.0,1.6666666666666667,384000.0,1,1,1.0,8.0,1,4,3.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,163.0,157.4,73.2,7.8,6.3,418.0,83.2,4000.0,200.0,8.0,2.2222222222222223,2592000.0,1,1,6.0,64.0,3,5,5.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2013,120.0,117.0,62.0,12.4,3.5,165.0,50.3,1700.0,70.0,2.0,1.5,153600.0,1,1,0.25,0.5,1,1,2.1,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2015,185.0,157.1,80.6,7.9,6.0,368.0,78.0,4000.0,300.0,8.0,1.7777777777777777,2073600.0,1,1,3.0,32.0,4,6,4.2,0.0
