Brand,Phone,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
LG667,KP152,True,False,2008.0,September. Released 2008,80.0,88.0,47.0,17.3,1.5,17.5,128.0,128.0,1:1,121.0,,
LG667,KP170,True,False,2008.0,December. Released 2009,72.0,105.2,45.6,13.9,1.77,20.6,128.0,160.0,,116.0,,
LG667,KP199,True,False,2008.0,August. Released 2008,84.0,105.0,46.0,15.0,1.77,20.4,128.0,160.0,,116.0,,
LG667,KP200,True,False,2007.0,June,76.0,86.0,45.0,20.1,,,96.0,64.0,,,,
LG667,KP202,True,False,2007.0,May,78.0,87.0,45.0,19.8,,,96.0,64.0,,,,
LG667,KP210,True,False,2008.0,February. Released 2008,80.0,89.0,46.5,18.0,1.0,7.6,96.0,64.0,,,,
LG667,KP215,True,False,2008.0,"April. Released 2008, September",78.0,89.0,46.5,18.0,1.77,23.8,96.0,64.0,,,,
LG667,KP220,True,True,2008.0,May. Released 2008,72.0,103.0,46.0,12.0,1.7,18.9,120.0,160.0,4:3,118.0,,
LG667,KP235,True,False,2008.0,February. Released 2008,81.0,89.0,46.5,17.9,1.7,22.0,96.0,64.0,,,,
LG667,KP260,True,False,2008.0,"September. Released 2009, Q1",90.0,96.6,46.5,16.9,1.77,21.9,128.0,160.0,,116.0,,
LG667,KP265,True,False,2008.0,July. Released 2008,90.0,96.0,46.0,17.0,1.77,22.3,128.0,160.0,,116.0,,
LG667,KP270,False,False,2008.0,December. Released 2008,99.0,98.0,48.0,16.9,2.0,26.8,176.0,220.0,,141.0,,
LG667,KP320,True,True,2008.0,May,82.0,105.0,46.0,13.5,2.0,25.6,240.0,320.0,4:3,200.0,,
LG667,KP500 Cookie,True,True,2008.0,"September. Released 2008, December",89.0,106.5,55.4,11.9,3.0,43.4,,,,,,
LG667,KP501 Cookie,True,True,2009.0,"January. Released 2009, February",89.0,106.5,55.4,11.9,3.0,43.4,,,,,,
LG667,KP502 Cookie,True,True,2009.0,"June. Released 2009, June",89.0,106.5,55.4,11.9,3.0,43.4,,,,,,
LG667,KS10,False,False,2007.0,February,118.0,103.0,51.0,18.5,2.4,34.0,,,,,Symbian OS 9.2,
LG667,KS20,False,False,2007.0,"September. Released 2008, January",92.5,99.8,58.0,12.8,2.8,41.9,,,,,Microsoft Windows Mobile 6.0 Professional,
LG667,KS360,True,True,2008.0,"July. Released 2008, July",111.5,101.5,51.0,16.8,2.4,34.5,,,,,,
LG667,KS365,True,True,2010.0,"August. Released 2010, August",111.0,101.5,51.0,16.8,2.4,34.5,,,,,,
LG667,KS500,False,False,2008.0,"October. Released 2009, March",106.0,102.8,49.2,14.9,2.0,24.5,240.0,320.0,4:3,200.0,,
LG667,KS660,True,True,2009.0,"February. Released 2009, May",110.0,105.0,55.0,15.0,3.0,44.4,240.0,400.0,5:3,155.0,,
LG667,KT520,False,False,2008.0,"February. Released 2008, August",97.0,101.4,49.6,15.3,2.2,29.8,,,,,,
LG667,KT610,False,False,2008.0,"February. Released 2008, September",125.5,108.9,53.9,17.2,2.4,30.4,,,,,Symbian 9.2,
LG667,KT770,False,False,2009.0,"February. Released 2009, Q2",,111.0,51.5,15.8,2.8,39.0,,,,,Symbian OS 9.3 Series60 rel. 3.2.3,
LG667,KU2100,False,False,2010.0,"January. Released 2010, March",121.0,109.8,53.4,12.9,3.0,43.7,,,,,Microsoft Windows Mobile 6.5 Professional,
