iter	MultiClass
0	0.9422364577
1	0.8196574968
2	0.7171306429
3	0.6358491884
4	0.5675955578
5	0.5131718448
6	0.4640598553
7	0.4212130186
8	0.3822558471
9	0.3471342048
10	0.3172837054
11	0.2898425193
12	0.2668041066
13	0.2459260119
14	0.2267553512
15	0.2110559471
16	0.1962455719
17	0.1821603748
18	0.1691815804
19	0.1586142288
20	0.1487169882
21	0.1396009615
22	0.1308542079
23	0.1231042348
24	0.1163430865
25	0.1106018435
26	0.1037054569
27	0.09794045361
28	0.09354163859
29	0.08870322859
30	0.08412183306
31	0.0801784557
32	0.07674117179
33	0.07322961391
34	0.06959615049
35	0.06720655677
36	0.06486476215
37	0.06267877615
38	0.06039515408
39	0.05789154108
40	0.05548762334
41	0.05419576816
42	0.05265155147
43	0.05086050825
44	0.04959840907
45	0.04861063507
46	0.04756044161
47	0.04638765395
48	0.0447362487
49	0.04297171548
50	0.04167252107
51	0.04056738263
52	0.03940656016
53	0.03822543476
54	0.03720763087
55	0.03648692393
56	0.0356694507
57	0.03498051325
58	0.03418452289
59	0.03290941539
60	0.03215416264
61	0.03139620066
62	0.03036701128
63	0.02950172135
64	0.02898999211
65	0.02847534852
66	0.02784430592
67	0.02723494499
68	0.02692831403
69	0.02615012299
70	0.02575827743
71	0.0251995536
72	0.02477891625
73	0.02425761563
74	0.0233635862
75	0.02298717592
76	0.02262935489
77	0.02229685023
78	0.02195653662
79	0.02165016468
80	0.0213229919
81	0.02085184589
82	0.02039554187
83	0.02001858956
84	0.01954376745
85	0.01905754868
86	0.01873088362
87	0.01853992042
88	0.01830149189
89	0.01793683136
90	0.01773612206
91	0.01747390366
92	0.01718684766
93	0.01668829274
94	0.0164533956
95	0.01618990948
96	0.01584088527
97	0.01567770383
98	0.01540444649
99	0.01519347296
100	0.01500256709
101	0.01466621586
102	0.01447836672
103	0.01405439925
104	0.01379531005
105	0.0135235656
106	0.01331176184
107	0.01303380003
108	0.01277600758
109	0.01264629541
110	0.01233779494
111	0.01216704364
112	0.01198984097
113	0.01170238804
114	0.01153765469
115	0.01132988784
116	0.01112078235
117	0.01098973428
118	0.0108705278
119	0.01071620243
120	0.01059009162
121	0.01038516195
122	0.01026839142
123	0.01015104892
124	0.0100169536
125	0.009832610067
126	0.009747105078
127	0.009640378809
128	0.009534832473
129	0.009450713453
130	0.009327995417
131	0.009242663615
132	0.009187572172
133	0.009100445256
134	0.008930893432
135	0.008836205581
136	0.008755220998
137	0.008593447434
138	0.00850818924
139	0.008342256028
140	0.008260148701
141	0.008171473843
142	0.008117830269
143	0.008063727803
144	0.007991462535
145	0.007904766192
146	0.007867708743
147	0.007744981923
148	0.007565508842
149	0.007506065771
150	0.007443986427
151	0.007300678635
152	0.007212163972
153	0.007135413656
154	0.007106868923
155	0.007063126614
156	0.006989742246
157	0.006932395606
158	0.006851593417
159	0.006790893509
160	0.006679890734
161	0.006621422542
162	0.006552806585
163	0.00649375149
164	0.006413303357
165	0.006367261681
166	0.00631127996
167	0.006273352966
168	0.006213564653
169	0.006190184852
170	0.006114542328
171	0.006064611471
172	0.006009001524
173	0.005909092807
174	0.005863830558
175	0.005815000176
176	0.005764193555
177	0.005688623857
178	0.00562924564
179	0.005549388114
180	0.005510628161
181	0.005459340371
182	0.005399073688
183	0.005348088711
184	0.005305456724
185	0.005243062032
186	0.005216611438
187	0.005191218368
188	0.005168627917
189	0.005118091836
190	0.00509512303
191	0.005056736751
192	0.005028292835
193	0.004994135431
194	0.004956337866
195	0.004932250257
196	0.004884535902
197	0.004845751781
198	0.004818395668
199	0.004752183258
