Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
Lumia 730 Dual SIM,2200,170 EUR,Qualcomm Snapdragon 400 (28 nm),Adreno 305,OLED,Nokia576,False,False,2014.0,"September. Released 2014, September",130.0,134.7,68.5,8.7,4.7,64.3,720.0,1280.0,16:9,316.0,Microsoft Windows Phone 8.1,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
Lumia 735,2200,220 EUR,Qualcomm Snapdragon 400 (28 nm),Adreno 305,OLED,Nokia576,False,False,2014.0,"September. Released 2014, September",134.0,134.7,68.5,8.9,4.7,66.0,720.0,1280.0,16:9,312.0,Microsoft Windows Phone 8.1,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
Lumia 810,1800,250 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,AMOLED,Nokia576,False,False,2012.0,"October. Released 2012, November",145.0,127.8,68.4,10.9,4.3,60.2,480.0,800.0,5:3,217.0,Microsoft Windows Phone 8,2.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Lumia 822,1800,320 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,AMOLED,Nokia576,False,False,2012.0,"October. Released 2012, November",141.6,127.8,68.4,11.2,4.3,60.2,480.0,800.0,5:3,217.0,Microsoft Windows Phone 8,2.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Lumia 830,2200,330 EUR,Qualcomm Snapdragon 400 (28 nm),Adreno 305,IPS,Nokia576,False,False,2014.0,"September. Released 2014, September",150.0,139.4,70.7,8.5,5.0,69.9,720.0,1280.0,16:9,294.0,Microsoft Windows Phone 8.1,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Lumia 920,2000,210 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,IPS,Nokia576,False,False,2012.0,"September. Released 2012, November",185.0,130.3,70.8,10.7,4.5,62.5,768.0,1280.0,5:3,332.0,Microsoft Windows Phone 8,2.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Lumia 925,2000,260 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,AMOLED,Nokia576,False,False,2013.0,"May. Released 2013, June",139.0,129.0,70.6,8.5,4.5,63.3,768.0,1280.0,5:3,332.0,Microsoft Windows Phone 8,2.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Lumia 928,2000,380 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,AMOLED,Nokia576,False,False,2013.0,"April. Released 2013, May",162.0,133.0,68.9,10.1,4.5,62.9,768.0,1280.0,5:3,332.0,Microsoft Windows Phone 8,2.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Lumia 930,2420,370 EUR,Qualcomm MSM8974 Snapdragon 800 (28 nm),Adreno 330,AMOLED,Nokia576,False,False,2014.0,"April. Released 2014, July",167.0,137.0,71.0,9.8,5.0,70.9,1080.0,1920.0,16:9,441.0,Microsoft Windows Phone 8.1,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.0
Lumia Icon,2420,400 EUR,Qualcomm Snapdragon 800 (28 nm),Adreno 330,AMOLED,Nokia576,False,False,2014.0,"February. Released 2014, February",167.0,137.0,71.0,9.8,5.0,70.9,1080.0,1920.0,16:9,441.0,Microsoft Windows Phone 8,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.0
