Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
1,2000,60 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,TFT,alcatel409,False,False,2018.0,July,134.0,137.6,65.7,9.8,5.0,71.4,480.0,960.0,18:9,215.0,Android 8.1 Oreo ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1 (2021),2000,60 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,TFT,alcatel409,False,False,2021.0,June 25,134.0,137.6,65.7,9.8,5.0,71.4,480.0,960.0,18:9,215.0,Android 11 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1 Plus,2500,80 EUR,Mediatek MT6739WW (28 nm),PowerVR GE8100,IPS,Nokia576,False,False,2019.0,February 24,138.4,145.0,70.4,8.6,5.45,75.1,480.0,960.0,18:9,197.0,Android 9.0 Pie ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,4.2
1.3,3000,170 EUR,Qualcomm QM215 Snapdragon 215 (28 nm),Adreno 308,IPS,Nokia576,False,False,2020.0,March 19,155.0,147.3,71.2,9.4,5.71,77.6,720.0,1520.0,19:9,295.0,Android 10 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1.4,4000,90 EUR,Qualcomm QM215 Snapdragon 215 (28 nm),Adreno 308,IPS,Nokia576,False,False,2021.0,February 03,178.0,166.4,76.7,8.7,6.52,80.4,720.0,1600.0,20:9,269.0,Android 10 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
10,3000,300 EUR,Qualcomm MSM8996 Snapdragon 820 (14 nm),Adreno 530,Super,HTC287,False,False,2016.0,"April 12. Released 2016, April 12",161.0,145.9,71.9,9.0,5.2,71.1,1440.0,2560.0,16:9,565.0,Android 6.0.1 ,4.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
10 Lifestyle,3000,250 EUR,Qualcomm MSM8976 Snapdragon 652 (28 nm),Adreno 510,Super,HTC287,False,False,2016.0,"April. Released 2016, June",161.0,145.9,71.9,9.0,5.2,71.1,1440.0,2560.0,16:9,565.0,Android 6.0.1 ,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
10 evo,3200,230 EUR,Qualcomm MSM8994 Snapdragon 810 (20 nm),Adreno 430,Super,HTC287,False,False,2016.0,"November. Released 2016, November",174.0,153.6,77.3,8.1,5.5,70.2,1440.0,2560.0,16:9,534.0,Android 7.0 ,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.1
11 Lite 5G NE,4250,999,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Adreno 642L,AMOLED,Xiaomi377,False,False,2021.0,September 15,158.0,160.5,75.7,6.8,6.55,85.3,1080.0,2400.0,20:9,402.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6 (Global),True,5.2
11T,5000,49,Mediatek Dimensity 1200 (6 nm),Mali-G77 MC9,AMOLED,Xiaomi377,False,False,2021.0,September 15,203.0,164.1,76.9,8.8,6.67,85.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
11T Pro,5000,999,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Adreno 660,AMOLED,Xiaomi377,False,False,2021.0,September 15,204.0,164.1,76.9,8.8,6.67,85.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
11i,5160,990,Mediatek Dimensity 920 (6 nm),Mali-G68 MC4,AMOLED,Xiaomi377,False,False,2022.0,January 06,207.0,163.7,76.2,8.3,6.67,86.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.2
11i HyperCharge 5G,4500,300 EUR,Mediatek Dimensity 920 (6 nm),Mali-G68 MC4,AMOLED,Xiaomi377,False,False,2022.0,January 06,204.0,163.7,76.2,8.3,6.67,86.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.2
12,4500,00,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,AMOLED,Xiaomi377,False,False,2021.0,December 28,179.0,152.7,69.9,8.2,6.28,89.2,1080.0,2400.0,20:9,419.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6 or 6e (market dependent),True,5.2
12 Lite,4300,00,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Adreno 642L,AMOLED,Xiaomi377,False,False,2022.0,July 09,173.0,159.3,73.7,7.3,6.55,88.2,1080.0,2400.0,20:9,402.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
12 Pro,4600,999,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,LTPO,Xiaomi377,False,False,2021.0,December 28,204.0,163.6,74.6,8.2,6.73,89.6,1440.0,3200.0,20:9,521.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6 or 6e (market dependent),True,5.2
12 Pro (Dimensity),5160,570 EUR,Mediatek Dimensity 9000+ (4 nm),Mali-G710 MC10,LTPO2,Xiaomi377,False,False,2022.0,July 04,201.0,163.6,74.6,8.2,6.73,89.6,1440.0,3200.0,20:9,521.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.3
12S,4500,570 EUR,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Adreno 730,AMOLED,Xiaomi377,False,False,2022.0,July 04,179.0,152.7,69.9,8.2,6.28,89.2,1080.0,2400.0,20:9,419.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e,True,5.2
12S Pro,4600,670 EUR,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Adreno 730,LTPO,Xiaomi377,False,False,2022.0,July 04,203.0,163.6,74.6,8.2,6.73,89.6,1440.0,3200.0,20:9,521.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e,True,5.2
12S Ultra,4860,04,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Adreno 730,LTPO2,Xiaomi377,False,False,2022.0,July 04,225.0,163.2,75.0,9.1,6.73,89.0,1440.0,3200.0,20:9,522.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e,True,5.2
12T,5000,00,Mediatek Dimensity 8100 Ultra (5 nm),Mali-G610 MC6,AMOLED,Xiaomi377,False,False,2022.0,October 04,202.0,163.1,75.9,8.6,6.67,86.7,1220.0,2712.0,20:9,446.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.3
12T Pro,5000,33,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Adreno 730,AMOLED,Xiaomi377,False,False,2022.0,October 04,205.0,163.1,75.9,8.6,6.67,86.7,1220.0,2712.0,20:9,446.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
12X,4500,96,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Adreno 650,AMOLED,Xiaomi377,False,False,2021.0,December 28,176.0,152.7,69.9,8.2,6.28,89.2,1080.0,2400.0,20:9,419.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
13,4500,71,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,AMOLED,Xiaomi377,False,False,2022.0,December 11,185.0,152.8,71.5,8.0,6.36,89.4,1080.0,2400.0,20:9,414.0,Android 13,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e,True,5.3
13 Lite,4500,00,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Adreno 644,AMOLED,Xiaomi377,False,False,2023.0,February 26,171.0,159.2,72.7,7.2,6.55,89.5,1080.0,2400.0,20:9,402.0,Android 12,8.0,Triple,Dual,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
13 Pro,4820,90,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,LTPO,Xiaomi377,False,False,2022.0,December 11,210.0,162.9,74.6,8.4,6.73,89.6,1440.0,3200.0,20:9,522.0,Android 13,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e,True,5.3
13 Ultra,5000,50,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,LTPO,Xiaomi377,False,False,2023.0,April 18,227.0,163.2,74.6,9.1,6.73,89.5,1440.0,3200.0,20:9,522.0,Android 13,8.0,Quad,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e/7,True,5.3
13T,5000,26,Mediatek Dimensity 8200 Ultra (4 nm),Mali-G610 MC6,AMOLED,Xiaomi377,False,False,2023.0,September 26,193.0,162.2,75.7,8.5,6.67,87.5,1220.0,2712.0,20:9,446.0,Android 13,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.4
13T Pro,5000,77,Mediatek Dimensity 9200+ (4 nm),Immortalis-G715 MC11,AMOLED,Xiaomi377,False,False,2023.0,September 26,200.0,162.2,75.7,8.5,6.67,87.5,1220.0,2712.0,20:9,446.0,Android 13,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e/7,True,5.4
14,4610,520 EUR,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Adreno 750,LTPO,Xiaomi377,False,False,2023.0,October 26,188.0,152.8,71.5,8.2,6.36,89.3,1200.0,2670.0,20:9,460.0,Android 14,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e/7,True,5.4
14 Pro,4880,650 EUR,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Adreno 750,LTPO,Xiaomi377,False,False,2023.0,October 26,223.0,161.4,75.3,8.5,6.73,89.6,1440.0,3200.0,20:9,522.0,Android 14,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6e/7,True,5.4
1B (2020),3000,80 EUR,Qualcomm QM215 Snapdragon 215 (28 nm),Adreno 308,IPS,alcatel409,False,False,2020.0,January,168.0,146.1,71.6,9.9,5.5,74.6,720.0,1440.0,18:9,293.0,Android 10 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1B (2022),3000,100 EUR,Mediatek MT6761 Helio A22 (12 nm),PowerVR GE8300,TFT,alcatel409,False,False,2022.0,May 31,172.0,146.7,71.9,10.0,5.5,74.0,720.0,1440.0,18:9,293.0,Android 11 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
1L (2021),3000,110 EUR,Mediatek MT6761D Helio A20 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2021.0,January 12,179.0,155.9,74.5,9.9,6.1,78.6,720.0,1560.0,5:9,282.0,Android 11 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
1L Pro (2021),3000,110 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,alcatel409,False,False,2021.0,June 25,190.0,156.4,74.8,9.7,6.1,78.1,720.0,1560.0,5:9,282.0,Android 11 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1S (2020),4000,100 EUR,Mediatek MT6762D Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2020.0,January,165.0,158.7,74.6,8.5,6.22,81.6,720.0,1520.0,19:9,270.0,Android 10,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
1S (2021),4000,130 EUR,Mediatek MT6762D Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2021.0,January 12,190.0,165.6,75.6,8.8,6.52,82.0,720.0,1600.0,20:9,269.0,Android 11,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
1SE (2020),4000,150 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,alcatel409,False,False,2020.0,October 28,175.0,159.2,75.2,8.7,6.22,80.7,720.0,1520.0,19:9,270.0,Android 10,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1T 10,4000,100 EUR,Mediatek MT8321 (28 nm),Mali-400,TFT,alcatel409,False,True,2018.0,February,415.0,255.0,155.0,9.4,10.1,74.8,1280.0,800.0,16:10,149.0,Android 8.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1T 7,2580,70 EUR,Mediatek MT8321A/D (28 nm),Mali-400,TFT,alcatel409,False,True,2018.0,February,245.0,189.5,111.0,9.2,7.0,65.6,600.0,1024.0,16:9,170.0,Android 8.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1V (2020),4000,80 EUR,Mediatek MT6762D Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2020.0,January,160.0,158.7,74.8,8.9,6.22,81.3,720.0,1520.0,19:9,270.0,Android 10,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
1V (2021),5000,100 EUR,Mediatek MT6761 Helio A22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2021.0,February,190.0,165.2,75.5,8.9,6.52,82.3,720.0,1600.0,20:9,269.0,Android 11 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
1c (2019),2000,70 EUR,Spreadtrum SC7731E,None,IPS,alcatel409,False,False,2019.0,January,148.0,136.6,65.3,10.0,5.0,72.3,480.0,960.0,18:9,215.0,Android 8.1 Oreo ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1v (2019),2460,80 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,alcatel409,False,False,2019.0,September,153.2,149.1,72.2,8.9,5.5,72.5,480.0,960.0,18:9,195.0,Android 9.0 Pie ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1x,2460,100 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,IPS,alcatel409,False,False,2018.0,February,151.0,147.5,70.6,9.1,5.3,69.6,480.0,960.0,18:9,203.0,Android 8.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
1x (2019),3000,120 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,IPS,alcatel409,False,False,2019.0,January,130.0,146.4,68.8,8.3,5.5,77.5,720.0,1440.0,18:9,293.0,Android 8.1 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
2,4100,110 EUR,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),Adreno 304,IPS,Nokia576,False,False,2017.0,October,161.0,143.5,71.3,9.3,5.0,67.4,720.0,1280.0,16:9,294.0,Android 7.1.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
2 V Tella,3000,140 EUR,Mediatek MT6761 Helio A22 (16 nm),PowerVR GE8320,IPS,Nokia576,False,False,2020.0,October 21,180.0,150.6,71.6,9.1,5.45,71.1,720.0,1440.0,18:9,295.0,Android 10,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
2.1,4000,100 EUR,Qualcomm MSM8917 Snapdragon 425 (28 nm),Adreno 308,IPS,Nokia576,False,False,2018.0,May,174.0,153.6,77.6,9.7,5.5,70.0,720.0,1280.0,16:9,267.0,Android 8.1 Oreo ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
2.4,4500,240 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,Nokia576,False,False,2020.0,September 22,195.0,165.9,76.3,8.7,6.5,80.6,720.0,1600.0,20:9,270.0,Android 10,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
3,3000,170 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,IPS,alcatel409,False,False,2018.0,February,145.0,147.1,68.8,8.5,5.5,77.1,720.0,1440.0,18:9,293.0,Android 8.0 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
3 V,4000,140 EUR,Qualcomm SDM429 Snapdragon 429 (12 nm),Adreno 504,IPS,Nokia576,False,False,2020.0,August 20,188.6,161.2,76.2,9.1,6.26,79.6,720.0,1520.0,19:9,269.0,Android 9.0 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
3.1,2990,200 EUR,Mediatek MT6750 (28 nm),Mali-T860MP2,IPS,Nokia576,False,False,2018.0,May,138.3,146.3,68.7,8.7,5.2,69.4,720.0,1440.0,18:9,310.0,Android 8.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.2
3.1 Plus,3500,120 EUR,Mediatek MT6762 Helio P22 (12 nm) - GlobalQualcomm SDM439 Snapdragon 439 (12 nm) - USA,PowerVR GE8320 - GlobalAdreno 505 - USA,IPS,Nokia576,False,False,2018.0,October,180.0,156.9,76.4,8.2,6.0,77.5,720.0,1440.0,18:9,268.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.1
3.2,4000,140 EUR,Qualcomm SDM429 Snapdragon 429 (12 nm),Adreno 504,IPS,Nokia576,False,False,2019.0,February 24,181.0,159.4,76.2,8.6,6.26,80.5,720.0,1520.0,19:9,269.0,Android 9.0 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
3.4,4000,100 EUR,Qualcomm SM4250 Snapdragon 460 (11 nm),Adreno 610,IPS,Nokia576,False,False,2020.0,September 22,180.0,161.0,76.0,8.7,6.39,81.9,720.0,1560.0,5:9,269.0,Android 10,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
3L (2020),4000,150 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2020.0,January,165.0,158.7,74.6,8.5,6.22,81.6,720.0,1520.0,19:9,270.0,Android 10,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
3L (2021),4000,330 EUR,Mediatek MT6762D Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2021.0,January 12,194.0,165.6,75.6,8.7,6.52,82.0,720.0,1600.0,20:9,269.0,Android 11,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,True,5.0
3T 8,4080,140 EUR,Mediatek MT8765,None,IPS,alcatel409,False,False,2018.0,October 08,279.0,209.5,125.0,8.3,8.0,70.9,800.0,1280.0,16:10,189.0,Android 8.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,4.2
3T10 2020,5500,170 EUR,MediaTek MT8766B,None,IPS,alcatel409,False,False,2020.0,Q4,475.0,243.3,161.2,9.4,10.1,75.4,800.0,1280.0,16:10,149.0,Android 10,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,5.0
3X (2020),5000,170 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2020.0,June,186.0,165.0,75.0,9.1,6.52,82.9,720.0,1600.0,20:9,269.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
3c,3000,130 EUR,Mediatek MT8321 (28 nm),Mali-400,IPS,alcatel409,False,False,2018.0,January,169.0,161.0,76.0,7.9,6.0,75.9,720.0,1440.0,18:9,268.0,Android 7.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
3v,3000,160 EUR,Mediatek MT8735A,Mali-T720MP2,IPS,alcatel409,False,False,2018.0,February,155.0,162.0,76.0,8.1,6.0,75.5,1080.0,2160.0,18:9,402.0,Android 8.0 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
3v (2019),4000,170 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,alcatel409,False,False,2019.0,Q2,197.9,174.5,83.3,8.4,6.7,79.7,720.0,1440.0,18:9,240.0,Android 9.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,4.2
3x (2018),3000,130 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,IPS,alcatel409,False,False,2018.0,February,144.0,153.5,71.6,8.5,5.7,76.3,720.0,1440.0,18:9,282.0,Android 7.1 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
3x (2019),4000,150 EUR,Mediatek MT6763V Helio P23 (16 nm),Mali-G71 MP2,IPS,alcatel409,False,False,2019.0,September,178.0,164.9,75.8,8.4,6.52,82.1,720.0,1600.0,20:9,269.0,Android 9.0 ,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
4.2,3000,130 EUR,Qualcomm SDM439 Snapdragon 439 (12 nm),Adreno 505,IPS,Nokia576,False,False,2019.0,February 24,161.0,149.0,71.3,8.4,5.71,76.6,720.0,1520.0,19:9,295.0,Android 9.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
5,3000,230 EUR,Mediatek MT6750 (28 nm),Mali-T860MP2,IPS,alcatel409,False,False,2018.0,February,144.0,152.3,71.1,8.4,5.7,77.4,720.0,1440.0,18:9,282.0,Android 7.1 ,8.0,Single,Dual,True,True,Wi-Fi 802.11 b/g/n,True,4.2
5.1,2970,240 EUR,Mediatek MT6755S Helio P18 (28 nm),Mali-T860MP2,IPS,Nokia576,False,False,2018.0,May,150.0,151.1,70.7,8.3,5.5,73.1,1080.0,2160.0,18:9,439.0,Android 8.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.2
5.1 Plus (Nokia X5),3060,190 EUR,Mediatek MT6771 Helio P60 (12 nm),Mali-G72 MP3,IPS,Nokia576,False,False,2018.0,July 18,160.0,149.5,72.0,8.1,5.86,79.6,720.0,1520.0,19:9,287.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,False,4.2
5.3,4000,290 EUR,Qualcomm SM6125 Snapdragon 665 (11 nm),Adreno 610,IPS,Nokia576,False,False,2020.0,March 19,185.0,164.3,76.6,8.5,6.55,82.3,720.0,1600.0,20:9,268.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 b/g/n/ac,True,4.2
5.4,4000,90 EUR,Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,IPS,Nokia576,False,False,2020.0,December 15,181.0,161.0,76.0,8.7,6.39,81.9,720.0,1560.0,5:9,269.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
6,3000,400 EUR,Qualcomm MSM8937 Snapdragon 430 (28 nm),Adreno 505,IPS,Nokia576,False,False,2017.0,"January. Released 2017, January 19",169.0,154.0,75.8,7.9,5.5,70.7,1080.0,1920.0,16:9,403.0,Android 7.1.1 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.1
6.1,3000,220 EUR,Qualcomm SDM630 Snapdragon 630 (14 nm),Adreno 508,IPS,Nokia576,False,False,2018.0,January 05,172.0,148.8,75.8,8.2,5.5,73.2,1080.0,1920.0,16:9,403.0,Android 8.1 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
6.1 Plus (Nokia X6),3060,160 EUR,Qualcomm SDM636 Snapdragon 636 (14 nm),Adreno 509,IPS,Nokia576,False,False,2018.0,July 23,151.0,147.2,71.0,8.0,5.8,81.5,1080.0,2280.0,19:9,432.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,False,5.0
6.2,3500,180 EUR,Qualcomm SDM636 Snapdragon 636 (14 nm),Adreno 509,IPS,Nokia576,False,False,2019.0,September 05,180.0,159.9,75.1,8.3,6.3,82.5,1080.0,2280.0,19:9,400.0,Android 9.0 ,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n/ac,True,5.0
6300 4G,1500,80 EUR,Qualcomm QC8909 Snapdragon 210 (28 nm),Adreno 304,TFT,Nokia576,False,False,2020.0,November 13,104.7,131.4,53.0,13.7,2.4,25.6,240.0,320.0,4:3,167.0,KaiOS 2.5,4.0,Single,None,True,True,Wi-Fi 802.11 b/g/n,False,4.0
7,4000,150 EUR,Mediatek MT6763T Helio P23 (16 nm),Mali-G71 MP2,IPS,alcatel409,False,False,2018.0,August,175.0,162.1,75.0,8.6,6.0,77.1,1080.0,2180.0,18:9,402.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,4.0
7 plus,3800,490 EUR,Qualcomm SDM660 Snapdragon 660 (14 nm),Adreno 512,IPS,Nokia576,False,False,2018.0,February 25,183.0,158.4,75.6,8.0,6.0,77.2,1080.0,2160.0,18:9,403.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
7.1,3060,240 EUR,Qualcomm SDM636 Snapdragon 636 (14 nm),Adreno 509,IPS,Nokia576,False,False,2018.0,October 04,160.0,149.7,71.2,8.0,5.84,79.9,1080.0,2280.0,19:9,432.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
7.2,3500,240 EUR,Qualcomm SDM660 Snapdragon 660 (14 nm),Adreno 512,IPS,Nokia576,False,False,2019.0,September 05,180.0,159.9,75.2,8.3,6.3,82.4,1080.0,2280.0,19:9,400.0,Android 9.0 ,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n/ac,True,5.0
8,3090,300 EUR,Qualcomm MSM8998 Snapdragon 835 (10 nm),Adreno 540,IPS,Nokia576,False,False,2017.0,August 16,160.0,151.5,73.7,7.9,5.3,69.4,1440.0,2560.0,16:9,554.0,Android 7.1.1 ,8.0,Dual,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
8 Sirocco,3260,1010 EUR,Qualcomm MSM8998 Snapdragon 835 (10 nm),Adreno 540,P-OLED,Nokia576,False,False,2018.0,February 25,177.0,140.9,73.0,7.5,5.5,81.1,1440.0,2560.0,16:9,534.0,Android 8.0 ,8.0,Dual,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
8 V 5G UW,4500,590 EUR,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Adreno 620,IPS,Nokia576,False,False,2020.0,November 09,230.0,171.9,78.6,9.0,6.81,82.9,1080.0,2400.0,20:9,386.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
8.1 (Nokia X7),3500,390 EUR,Qualcomm SDM710 Snapdragon 710 (10 nm),Adreno 616,IPS,Nokia576,False,False,2018.0,October 16,180.0,154.8,75.8,8.0,6.18,81.2,1080.0,2280.0,19:9,408.0,Android 9.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
8.3 5G,4500,470 EUR,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Adreno 620,IPS,Nokia576,False,False,2020.0,March 19,220.0,171.9,78.6,9.0,6.81,82.9,1080.0,2400.0,20:9,386.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
