DeviceName,Sensor
Pop C7,7041D only)
Pop C5,Accelerometer
Pop C5,proximity
Pop C3,Accelerometer
Pop C3,proximity
Pop C1,Accelerometer
Idol Alpha,Accelerometer
Idol Alpha,proximity
Idol Alpha,compass
Hero,Accelerometer
Hero,gyro (optional)
Hero,proximity
Idol S,Accelerometer
Idol S,proximity
Idol S,compass
Idol Mini,Accelerometer
Idol Mini,proximity
Idol Mini,compass
Idol X,Accelerometer
Idol X,proximity
Idol X,compass
One Touch Scribe Easy,Accelerometer
One Touch Scribe Easy,proximity
One Touch Scribe Easy,compass
One Touch Tab 7 HD,
One Touch Idol Ultra,Accelerometer
One Touch Idol Ultra,proximity
One Touch Idol Ultra,compass
One Touch Idol,Accelerometer
One Touch Idol,proximity
One Touch Idol,compass
One Touch X'Pop,Accelerometer
One Touch X'Pop,proximity
One Touch X'Pop,compass
One Touch Scribe HD-LTE,Accelerometer
One Touch Scribe HD-LTE,proximity
One Touch Scribe HD-LTE,compass
One Touch Scribe HD,Accelerometer
One Touch Scribe HD,proximity
One Touch Scribe HD,compass
OT-997D,Accelerometer
OT-997D,proximity
OT-997D,compass
OT-997,Accelerometer
OT-997,proximity
OT-997,compass
iPad Pro 12.9 (2022),Face ID
iPad Pro 12.9 (2022),accelerometer
iPad Pro 12.9 (2022),gyro
iPad Pro 12.9 (2022),barometer
iPad Pro 12.9 (2021),Face ID
iPad Pro 12.9 (2021),accelerometer
iPad Pro 12.9 (2021),gyro
iPad Pro 12.9 (2021),barometer
iPad Pro 12.9 (2020),Face ID
iPad Pro 12.9 (2020),accelerometer
iPad Pro 12.9 (2020),gyro
iPad Pro 12.9 (2020),proximity
iPad Pro 12.9 (2020),barometer
iPad 10.2 (2019),Fingerprint (front-mounted)
iPad 10.2 (2019),accelerometer
iPad 10.2 (2019),gyro
iPad 10.2 (2019),compass
iPad 10.2 (2019),barometer
iPad Pro 12.9 (2018),Face ID
iPad Pro 12.9 (2018),accelerometer
iPad Pro 12.9 (2018),gyro
iPad Pro 12.9 (2018),proximity
iPad Pro 12.9 (2018),barometer
iPad 9.7 (2018),Fingerprint (front-mounted)
iPad 9.7 (2018),accelerometer
iPad 9.7 (2018),gyro
iPad 9.7 (2018),compass
iPad 9.7 (2018),barometer
iPad 9.7 (2017),Fingerprint (front-mounted)
iPad 9.7 (2017),accelerometer
iPad 9.7 (2017),gyro
iPad 9.7 (2017),compass
iPad 9.7 (2017),barometer
iPhone 7 Plus,Fingerprint (front-mounted)
iPhone 7 Plus,accelerometer
iPhone 7 Plus,gyro
iPhone 7 Plus,proximity
iPhone 7 Plus,compass
iPhone 7 Plus,barometer
iPhone 7,Fingerprint (front-mounted)
iPhone 7,accelerometer
iPhone 7,gyro
iPhone 7,proximity
iPhone 7,compass
iPhone 7,barometer
iPad Pro 9.7 (2016),Fingerprint (front-mounted)
iPad Pro 9.7 (2016),accelerometer
iPad Pro 9.7 (2016),gyro
iPad Pro 9.7 (2016),compass
iPad Pro 9.7 (2016),barometer
iPhone SE,Fingerprint (front-mounted)
iPhone SE,accelerometer
iPhone SE,gyro
iPhone SE,proximity
iPhone SE,compass
iPhone 6s Plus,Fingerprint (front-mounted)
iPhone 6s Plus,accelerometer
iPhone 6s Plus,gyro
iPhone 6s Plus,proximity
iPhone 6s Plus,compass
iPhone 6s Plus,barometer
iPhone 6s,Fingerprint (front-mounted)
iPhone 6s,accelerometer
iPhone 6s,gyro
iPhone 6s,proximity
iPhone 6s,compass
iPhone 6s,barometer
iPad Pro 12.9 (2015),Fingerprint (front-mounted)
iPad Pro 12.9 (2015),accelerometer
iPad Pro 12.9 (2015),gyro
iPad Pro 12.9 (2015),compass
iPad Pro 12.9 (2015),barometer
iPad mini 4 (2015),Fingerprint (front-mounted)
iPad mini 4 (2015),accelerometer
iPad mini 4 (2015),gyro
iPad mini 4 (2015),compass
iPad mini 4 (2015),barometer
iPad mini 3,Fingerprint (front-mounted)
iPad mini 3,accelerometer
iPad mini 3,gyro
iPad mini 3,compass
iPhone 6 Plus,Fingerprint (front-mounted)
iPhone 6 Plus,accelerometer
iPhone 6 Plus,gyro
iPhone 6 Plus,proximity
iPhone 6 Plus,compass
iPhone 6 Plus,barometer
iPhone 6,Fingerprint (front-mounted)
iPhone 6,accelerometer
iPhone 6,gyro
iPhone 6,proximity
iPhone 6,compass
iPhone 6,barometer
iPad Air,Accelerometer
iPad Air,gyro
iPad Air,compass
iPad mini 2,Accelerometer
iPad mini 2,gyro
iPad mini 2,compass
iPhone 5s,Fingerprint (front-mounted)
iPhone 5s,accelerometer
iPhone 5s,gyro
iPhone 5s,proximity
iPhone 5s,compass
iPhone 5c,Accelerometer
iPhone 5c,gyro
iPhone 5c,proximity
iPhone 5c,compass
iPad mini Wi-Fi,Accelerometer
iPad mini Wi-Fi,gyro
iPad mini Wi-Fi,compass
iPad mini Wi-Fi + Cellular,Accelerometer
iPad mini Wi-Fi + Cellular,gyro
iPad mini Wi-Fi + Cellular,compass
iPad 4 Wi-Fi,Accelerometer
iPad 4 Wi-Fi,gyro
iPad 4 Wi-Fi,compass
iPad 4 Wi-Fi + Cellular,Accelerometer
iPad 4 Wi-Fi + Cellular,gyro
iPad 4 Wi-Fi + Cellular,compass
iPhone 5,Accelerometer
iPhone 5,gyro
iPhone 5,proximity
iPhone 5,compass
iPad 3 Wi-Fi + Cellular,Accelerometer
iPad 3 Wi-Fi + Cellular,gyro
iPad 3 Wi-Fi + Cellular,compass
iPad 3 Wi-Fi,Accelerometer
iPad 3 Wi-Fi,gyro
iPad 3 Wi-Fi,compass
iPhone 4s,Accelerometer
iPhone 4s,gyro
iPhone 4s,proximity
iPhone 4s,compass
iPad 2 Wi-Fi + 3G,Accelerometer
iPad 2 Wi-Fi + 3G,gyro
iPad 2 Wi-Fi + 3G,compass
iPad 2 Wi-Fi,Accelerometer
iPad 2 Wi-Fi,gyro
iPad 2 Wi-Fi,compass
iPad 2 CDMA,Accelerometer
iPad 2 CDMA,gyro
iPad 2 CDMA,compass
ROG Phone 8 Pro,Fingerprint (under display
ROG Phone 8 Pro,optical)
ROG Phone 8 Pro,accelerometer
ROG Phone 8 Pro,gyro
ROG Phone 8 Pro,proximity
ROG Phone 8 Pro,compass
ROG Phone 8,Fingerprint (under display
ROG Phone 8,optical)
ROG Phone 8,accelerometer
ROG Phone 8,gyro
ROG Phone 8,proximity
ROG Phone 8,compass
Zenfone 10,Fingerprint (side-mounted)
Zenfone 10,accelerometer
Zenfone 10,gyro
Zenfone 10,proximity
Zenfone 10,compass
Zenfone 9,Fingerprint (side-mounted)
Zenfone 9,accelerometer
Zenfone 9,gyro
Zenfone 9,proximity
Zenfone 9,compass
Zenfone 8 Flip,Fingerprint (under display
Zenfone 8 Flip,optical)
Zenfone 8 Flip,accelerometer
Zenfone 8 Flip,gyro
Zenfone 8 Flip,proximity
Zenfone 8 Flip,compass
Zenfone 8,Fingerprint (under display
Zenfone 8,optical)
Zenfone 8,accelerometer
Zenfone 8,gyro
Zenfone 8,proximity
Zenfone 8,compass
Zenfone 7 Pro,Fingerprint (side-mounted)
Zenfone 7 Pro,accelerometer
Zenfone 7 Pro,gyro
Zenfone 7 Pro,proximity
Zenfone 7 Pro,compass
Zenfone 7,Fingerprint (side-mounted)
Zenfone 7,accelerometer
Zenfone 7,gyro
Zenfone 7,proximity
Zenfone 7,compass
ROG Phone 3,Fingerprint (under display
ROG Phone 3,optical)
ROG Phone 3,accelerometer
ROG Phone 3,gyro
ROG Phone 3,proximity
ROG Phone 3,compass
ROG Phone 3 Strix,Fingerprint (under display
ROG Phone 3 Strix,optical)
ROG Phone 3 Strix,accelerometer
ROG Phone 3 Strix,gyro
ROG Phone 3 Strix,proximity
ROG Phone 3 Strix,compass
ROG Phone II ZS660KL,Fingerprint (under display
ROG Phone II ZS660KL,optical)
ROG Phone II ZS660KL,accelerometer
ROG Phone II ZS660KL,gyro
ROG Phone II ZS660KL,proximity
ROG Phone II ZS660KL,compass
Zenfone 6 ZS630KL,Fingerprint (rear-mounted)
Zenfone 6 ZS630KL,accelerometer
Zenfone 6 ZS630KL,gyro
Zenfone 6 ZS630KL,proximity
Zenfone 6 ZS630KL,compass
Zenfone Max Plus (M2) ZB634KL,Fingerprint (rear-mounted)
Zenfone Max Plus (M2) ZB634KL,accelerometer
Zenfone Max Plus (M2) ZB634KL,gyro
Zenfone Max Plus (M2) ZB634KL,proximity
Zenfone Max Shot ZB634KL,Fingerprint (rear-mounted)
Zenfone Max Shot ZB634KL,accelerometer
Zenfone Max Shot ZB634KL,gyro
Zenfone Max Shot ZB634KL,proximity
Zenfone Max Pro (M2) ZB631KL,Fingerprint (rear-mounted)
Zenfone Max Pro (M2) ZB631KL,accelerometer
Zenfone Max Pro (M2) ZB631KL,gyro
Zenfone Max Pro (M2) ZB631KL,proximity
Zenfone Max Pro (M2) ZB631KL,compass
Zenfone Max (M1) ZB556KL,Fingerprint (rear-mounted)
Zenfone Max (M1) ZB556KL,accelerometer
Zenfone Max (M1) ZB556KL,proximity
Zenfone Max (M1) ZB556KL,compass
ZenFone Lite (L1) ZA551KL,Accelerometer
ZenFone Lite (L1) ZA551KL,proximity
ZenFone Lite (L1) ZA551KL,compass
ROG Phone ZS600KL,Fingerprint (rear-mounted)
ROG Phone ZS600KL,accelerometer
ROG Phone ZS600KL,gyro
ROG Phone ZS600KL,proximity
ROG Phone ZS600KL,compass
ZenFone Live (L1) ZA550KL,Accelerometer
ZenFone Live (L1) ZA550KL,gyro
ZenFone Live (L1) ZA550KL,proximity
ZenFone Live (L1) ZA550KL,compass
Zenfone Max Pro (M1) ZB601KL/ZB602K,Fingerprint (rear-mounted)
Zenfone Max Pro (M1) ZB601KL/ZB602K,accelerometer
Zenfone Max Pro (M1) ZB601KL/ZB602K,proximity
Zenfone Max Pro (M1) ZB601KL/ZB602K,compass
Zenfone Max Pro (M1) ZB601KL/ZB602K,gyroscope
Zenfone Max Pro (M1) ZB601KL/ZB602K,ambient light sensor
Zenfone 5z ZS620KL,Fingerprint (rear-mounted)
Zenfone 5z ZS620KL,accelerometer
Zenfone 5z ZS620KL,gyro
Zenfone 5z ZS620KL,proximity
Zenfone 5z ZS620KL,compass
Zenfone 5 ZE620KL,Fingerprint (rear-mounted)
Zenfone 5 ZE620KL,accelerometer
Zenfone 5 ZE620KL,gyro
Zenfone 5 ZE620KL,proximity
Zenfone 5 ZE620KL,compass
Zenfone 5 Lite ZC600KL,Fingerprint (rear-mounted)
Zenfone 5 Lite ZC600KL,accelerometer
Zenfone 5 Lite ZC600KL,gyro
Zenfone 5 Lite ZC600KL,proximity
Zenfone 5 Lite ZC600KL,compass
Zenfone Max (M1) ZB555KL,Fingerprint (rear-mounted)
Zenfone Max (M1) ZB555KL,accelerometer
Zenfone Max (M1) ZB555KL,proximity
Zenfone Max (M1) ZB555KL,compass
Zenfone Max Plus (M1) ZB570TL,Fingerprint (rear-mounted)
Zenfone Max Plus (M1) ZB570TL,accelerometer
Zenfone Max Plus (M1) ZB570TL,gyro
Zenfone Max Plus (M1) ZB570TL,proximity
Zenfone Max Plus (M1) ZB570TL,compass
Zenfone V V520KL,Fingerprint (front-mounted)
Zenfone V V520KL,accelerometer
Zenfone V V520KL,gyro
Zenfone V V520KL,proximity
Zenfone V V520KL,compass
Zenfone 4 Pro ZS551KL,Fingerprint (front-mounted)
Zenfone 4 Pro ZS551KL,accelerometer
Zenfone 4 Pro ZS551KL,gyro
Zenfone 4 Pro ZS551KL,proximity
Zenfone 4 Pro ZS551KL,compass
Zenfone 4 Pro ZS551KL,color spectrum
Zenfone 4 ZE554KL,Fingerprint (front-mounted)
Zenfone 4 ZE554KL,accelerometer
Zenfone 4 ZE554KL,gyro
Zenfone 4 ZE554KL,proximity
Zenfone 4 ZE554KL,compass
Zenfone 4 Selfie Lite ZB553KL,Fingerprint (front-mounted)
Zenfone 4 Selfie Lite ZB553KL,accelerometer
Zenfone 4 Selfie Lite ZB553KL,gyro
Zenfone 4 Selfie Lite ZB553KL,proximity
Zenfone 4 Selfie Lite ZB553KL,compass
