DeviceName,Sensor
Enjoy 10 Plus,accelerometer
Enjoy 10 Plus,gyro
Enjoy 10 Plus,proximity
Enjoy 10 Plus,compass
nova 5T,Fingerprint (side-mounted)
nova 5T,accelerometer
nova 5T,gyro
nova 5T,proximity
nova 5T,compass
MediaPad M6 10.8,Fingerprint (front-mounted)
MediaPad M6 10.8,accelerometer
MediaPad M6 10.8,gyro
MediaPad M6 10.8,proximity
MediaPad M6 10.8,compass
MediaPad M6 Turbo 8.4,Accelerometer
MediaPad M6 Turbo 8.4,gyro
MediaPad M6 Turbo 8.4,proximity
MediaPad M6 Turbo 8.4,compass
MediaPad M6 8.4,Accelerometer
MediaPad M6 8.4,gyro
MediaPad M6 8.4,proximity
MediaPad M6 8.4,compass
nova 5 Pro,Fingerprint (under display
nova 5 Pro,optical)
nova 5 Pro,accelerometer
nova 5 Pro,gyro
nova 5 Pro,proximity
nova 5 Pro,compass
nova 5,Fingerprint (under display
nova 5,optical)
nova 5,accelerometer
nova 5,gyro
nova 5,proximity
nova 5,compass
Y9 Prime (2019),Fingerprint (rear-mounted)
Y9 Prime (2019),accelerometer
Y9 Prime (2019),gyro
Y9 Prime (2019),proximity
Y9 Prime (2019),compass
P Smart Z,Fingerprint (rear-mounted)
P Smart Z,accelerometer
P Smart Z,gyro
P Smart Z,proximity
P Smart Z,compass
Mate 20 X (5G),Fingerprint (rear-mounted)
Mate 20 X (5G),accelerometer
Mate 20 X (5G),gyro
Mate 20 X (5G),proximity
Mate 20 X (5G),barometer
Mate 20 X (5G),compass
P30 Pro,Fingerprint (under display
P30 Pro,optical)
P30 Pro,accelerometer
P30 Pro,gyro
P30 Pro,proximity
P30 Pro,compass
P30 Pro,color spectrum
P30,Fingerprint (under display
P30,optical)
P30,accelerometer
P30,gyro
P30,proximity
P30,compass
P30,color spectrum
P30 lite,Fingerprint (rear-mounted)
P30 lite,accelerometer
P30 lite,gyro
P30 lite,proximity
P30 lite,compass
nova 4e,Fingerprint (rear-mounted)
nova 4e,accelerometer
nova 4e,gyro
nova 4e,proximity
nova 4e,compass
Y5 (2019),Accelerometer
Y5 (2019),proximity
Enjoy 9e,Accelerometer
Enjoy 9e,proximity
Enjoy 9s,Fingerprint (rear-mounted)
Enjoy 9s,accelerometer
Enjoy 9s,proximity
Enjoy 9s,compass
Y Max,Fingerprint (rear-mounted)
Y Max,accelerometer
Y Max,gyro
Y Max,proximity
Y Max,compass
MediaPad M5 Lite 8,Accelerometer
MediaPad M5 Lite 8,proximity
Y6 Pro (2019),Accelerometer
Y6 Pro (2019),proximity
Y6 (2019),Fingerprint (rear-mounted)
Y6 (2019),accelerometer
Y6 (2019),proximity
Y7 (2019),Fingerprint (rear-mounted)
Y7 (2019),accelerometer
Y7 (2019),proximity
Y7 (2019),compass
Y7 Prime (2019),Fingerprint (rear-mounted)
Y7 Prime (2019),accelerometer
Y7 Prime (2019),proximity
Y7 Prime (2019),compass
Y7 Pro (2019),Accelerometer
Y7 Pro (2019),proximity
Y7 Pro (2019),compass
Y5 lite (2018),Accelerometer
Y5 lite (2018),proximity
P smart 2019,Fingerprint (rear-mounted)
P smart 2019,accelerometer
P smart 2019,proximity
P smart 2019,compass
Enjoy 9,Accelerometer
Enjoy 9,proximity
Enjoy 9,compass
Mate 20 RS Porsche Design,Face ID
Mate 20 RS Porsche Design,fingerprint (under display
Mate 20 RS Porsche Design,optical)
Mate 20 RS Porsche Design,accelerometer
Mate 20 RS Porsche Design,gyro
Mate 20 RS Porsche Design,proximity
Mate 20 RS Porsche Design,barometer
Mate 20 RS Porsche Design,compass
Mate 20 X,Fingerprint (rear-mounted)
Mate 20 X,accelerometer
Mate 20 X,gyro
Mate 20 X,proximity
Mate 20 X,barometer
Mate 20 X,compass
Mate 20 Pro,Face ID
Mate 20 Pro,fingerprint (under display
Mate 20 Pro,optical)
Mate 20 Pro,accelerometer
Mate 20 Pro,gyro
Mate 20 Pro,proximity
Mate 20 Pro,barometer
Mate 20 Pro,compass
Mate 20,Fingerprint (rear-mounted)
Mate 20,accelerometer
Mate 20,gyro
Mate 20,proximity
Mate 20,barometer
Mate 20,compass
MediaPad T5,Accelerometer
MediaPad M5 lite,Fingerprint (front-mounted)
MediaPad M5 lite,accelerometer
MediaPad M5 lite,proximity
MediaPad M5 lite,compass
Y9 (2019),Fingerprint (rear-mounted)
Y9 (2019),accelerometer
Y9 (2019),gyro
Y9 (2019),proximity
Y9 (2019),compass
Mate 20 lite,Fingerprint (rear-mounted)
Mate 20 lite,accelerometer
Mate 20 lite,gyro
Mate 20 lite,proximity
Mate 20 lite,compass
P Smart+ 2019,Fingerprint (rear-mounted)
P Smart+ 2019,accelerometer
P Smart+ 2019,proximity
P Smart+ 2019,compass
nova 3i,Fingerprint (rear-mounted)
nova 3i,accelerometer
nova 3i,gyro
nova 3i,proximity
nova 3i,compass
nova 3,Infrared Face ID
nova 3,fingerprint (rear-mounted)
nova 3,accelerometer
nova 3,gyro
nova 3,proximity
nova 3,compass
Y5 Prime (2018),Accelerometer
Y5 Prime (2018),proximity
Y3 (2018),Accelerometer
Y3 (2018),proximity
Y6 Prime (2018),Fingerprint (rear-mounted)
Y6 Prime (2018),accelerometer
Y6 Prime (2018),proximity
Y6 (2018),Accelerometer
Y6 (2018),proximity
Mate RS Porsche Design,Fingerprints (rear-mounted and under display
Mate RS Porsche Design,optical)
Mate RS Porsche Design,accelerometer
Mate RS Porsche Design,gyro
Mate RS Porsche Design,proximity
Mate RS Porsche Design,compass
Mate RS Porsche Design,barometer
P20 Pro,Fingerprint (front-mounted)
P20 Pro,accelerometer
P20 Pro,gyro
P20 Pro,proximity
P20 Pro,compass
P20 Pro,color spectrum
P20,Fingerprint (front-mounted)
P20,accelerometer
P20,gyro
P20,proximity
P20,compass
P20,color spectrum
P20 lite,Fingerprint (rear-mounted)
P20 lite,accelerometer
P20 lite,gyro (except LX2
P20 lite,AL00)
P20 lite,proximity
P20 lite,compass
Y7 Pro (2018),Accelerometer
Y7 Pro (2018),proximity
Y7 Pro (2018),compass
Y7 Prime (2018),Fingerprint (rear-mounted)
Y7 Prime (2018),accelerometer
Y7 Prime (2018),proximity
Y7 Prime (2018),compass
Y7 (2018),Fingerprint (rear-mounted)
Y7 (2018),accelerometer
Y7 (2018),proximity
Y7 (2018),compass
Y9 (2018),Fingerprint (rear-mounted)
Y9 (2018),accelerometer
Y9 (2018),gyro (market dependent)
Y9 (2018),proximity
Y9 (2018),compass
MediaPad M5 10,Fingerprint (front-mounted)
MediaPad M5 10,accelerometer
MediaPad M5 10,gyro
MediaPad M5 10,proximity
MediaPad M5 10,compass
MediaPad M5 8,Fingerprint (front-mounted)
MediaPad M5 8,accelerometer
MediaPad M5 8,gyro
MediaPad M5 8,proximity
MediaPad M5 8,compass
P smart,Fingerprint (rear-mounted)
P smart,accelerometer
P smart,proximity
P smart,compass
nova 2s,Fingerprint (front-mounted)
nova 2s,accelerometer
nova 2s,gyro
nova 2s,proximity
nova 2s,compass
Mate 10 Porsche Design,Fingerprint (rear-mounted)
Mate 10 Porsche Design,accelerometer
Mate 10 Porsche Design,gyro
Mate 10 Porsche Design,proximity
Mate 10 Porsche Design,barometer
Mate 10 Porsche Design,compass
Mate 10 Pro,Fingerprint (rear-mounted)
Mate 10 Pro,accelerometer
Mate 10 Pro,gyro
Mate 10 Pro,proximity
Mate 10 Pro,barometer
Mate 10 Pro,compass
Mate 10,Fingerprint (front-mounted)
Mate 10,accelerometer
Mate 10,gyro
Mate 10,proximity
Mate 10,barometer
Mate 10,compass
Mate 10 Lite,Fingerprint (rear-mounted)
Mate 10 Lite,accelerometer
Mate 10 Lite,proximity
Mate 10 Lite,compass
P9 lite mini,Fingerprint (rear-mounted)
P9 lite mini,accelerometer
P9 lite mini,proximity
Y7 Prime,Fingerprint (rear-mounted)
Y7 Prime,accelerometer
Y7 Prime,proximity
Y7 Prime,compass
MediaPad M3 Lite 8,Accelerometer
MediaPad M3 Lite 8,proximity
MediaPad M3 Lite 10,Accelerometer
MediaPad M3 Lite 10,proximity
MediaPad M3 Lite 10,gyro (Bach-L09 only)
nova 2 plus,Fingerprint (rear-mounted)
nova 2 plus,accelerometer
nova 2 plus,gyro
nova 2 plus,proximity
nova 2 plus,compass
nova 2,Fingerprint (rear-mounted)
nova 2,accelerometer
nova 2,gyro
nova 2,proximity
nova 2,compass
Y6II Compact,Accelerometer
Y6II Compact,proximity
Y6II Compact,compass
MediaPad T3 8.0,Accelerometer
MediaPad T3 7.0,Accelerometer
Y7,Accelerometer
Y7,gyro
Y7,proximity
Y7,compass
Y6 (2017),Accelerometer
Y6 (2017),proximity
Y6 (2017),compass
Y5 (2017),Accelerometer
Y5 (2017),proximity
Y5 (2017),compass
Y3 (2017),Accelerometer
Y3 (2017),proximity
P10 Plus,Fingerprint (front-mounted)
P10 Plus,accelerometer
P10 Plus,gyro
P10 Plus,proximity
P10 Plus,compass
P10,Fingerprint (front-mounted)
P10,accelerometer
P10,gyro
P10,proximity
P10,compass
P10 Lite,Fingerprint (rear-mounted)
P10 Lite,accelerometer
P10 Lite,gyro
P10 Lite,proximity
P10 Lite,compass
P8 Lite (2017),Fingerprint (rear-mounted)
P8 Lite (2017),accelerometer
P8 Lite (2017),proximity
P8 Lite (2017),compass
Enjoy 6s,Fingerprint (rear-mounted)
Enjoy 6s,accelerometer
Enjoy 6s,proximity
Enjoy 6s,compass
Mate 9 Pro,Fingerprint (front-mounted)
Mate 9 Pro,accelerometer
Mate 9 Pro,gyro
Mate 9 Pro,proximity
Mate 9 Pro,barometer
Mate 9 Pro,compass
Mate 9 Porsche Design,Fingerprint (front-mounted)
Mate 9 Porsche Design,accelerometer
Mate 9 Porsche Design,gyro
Mate 9 Porsche Design,proximity
Mate 9 Porsche Design,barometer
Mate 9 Porsche Design,compass
Mate 9,Fingerprint (rear-mounted)
Mate 9,accelerometer
Mate 9,gyro
Mate 9,proximity
Mate 9,barometer
Mate 9,compass
Enjoy 6,Fingerprint (rear-mounted)
Enjoy 6,accelerometer
Enjoy 6,proximity
Enjoy 6,compass
MediaPad M3 8.4,Fingerprint (front-mounted)
MediaPad M3 8.4,accelerometer
MediaPad M3 8.4,gyro
MediaPad M3 8.4,proximity
MediaPad M3 8.4,compass
nova plus,Fingerprint (rear-mounted)
nova plus,accelerometer
nova plus,proximity
nova plus,compass
nova,Fingerprint (rear-mounted)
nova,accelerometer
nova,gyro
nova,proximity
nova,compass
MediaPad T2 10.0 Pro,Accelerometer
MediaPad T2 7.0 Pro,Fingerprint (side-mounted)
MediaPad T2 7.0 Pro,accelerometer
MediaPad T2 7.0 Pro,proximity
MediaPad T2 7.0 Pro,compass
MediaPad T2 7.0,Accelerometer
G9 Plus,Fingerprint (rear-mounted)
G9 Plus,accelerometer
G9 Plus,proximity
G9 Plus,compass
MediaPad T1 7.0 Plus,Accelerometer
MediaPad M2 7.0,Fingerprint (side-mounted)
MediaPad M2 7.0,accelerometer
MediaPad M2 7.0,proximity
Y3II,Accelerometer
Y3II,proximity
Y5II,Accelerometer
Y5II,proximity
Y5II,compass
P9 lite,Fingerprint (rear-mounted)
P9 lite,accelerometer
P9 lite,proximity
P9 lite,compass
P9 Plus,Fingerprint (rear-mounted)
P9 Plus,accelerometer
P9 Plus,gyro
P9 Plus,proximity
P9 Plus,compass
P9,Fingerprint (rear-mounted)
P9,accelerometer
P9,gyro
P9,proximity
P9,compass
MediaPad M2 10.0,Fingerprint (front-mounted)
MediaPad M2 10.0,accelerometer
MediaPad M2 10.0,gyro
MediaPad M2 10.0,compass
Enjoy 5s,Fingerprint (rear-mounted)
Enjoy 5s,accelerometer
Enjoy 5s,proximity
Mate 8,Fingerprint (rear-mounted)
Mate 8,accelerometer
Mate 8,gyro
Mate 8,proximity
Mate 8,barometer
Mate 8,compass
G7 Plus,Fingerprint (rear-mounted)
G7 Plus,accelerometer
G7 Plus,proximity
G7 Plus,compass
Y6 Pro,Accelerometer
Y6 Pro,proximity
Nexus 6P,Fingerprint (rear-mounted)
Nexus 6P,accelerometer
Nexus 6P,gyro
Nexus 6P,proximity
Nexus 6P,compass
Nexus 6P,barometer
Mate S,Fingerprint (rear-mounted)
Mate S,accelerometer
Mate S,gyro
Mate S,proximity
Mate S,compass
Y6,Accelerometer
Y6,proximity
Y6,compass
G8,Fingerprint (rear-mounted)
G8,accelerometer
G8,proximity
G8,compass
MediaPad M2 8.0,Accelerometer
MediaPad M2 8.0,proximity
MediaPad M2 8.0,compass
Y560,Accelerometer
Y560,proximity
Y625,Accelerometer
Y625,proximity
P8lite ALE-L04,Accelerometer
P8lite ALE-L04,proximity
P8lite ALE-L04,compass
P8lite,Accelerometer
P8lite,proximity
P8lite,compass
P8max,Accelerometer
P8max,gyro
P8max,proximity
P8max,compass
P8,Accelerometer
P8,gyro
P8,proximity
P8,compass
SnapTo,Accelerometer
SnapTo,proximity
SnapTo,compass
MediaPad X2,Accelerometer
MediaPad X2,gyro
MediaPad X2,proximity
MediaPad X2,compass
Y635,Accelerometer
Y635,proximity
Y360,Accelerometer
Ascend Y520,Accelerometer
Ascend Y221,Accelerometer
Ascend GX1,Accelerometer
Ascend GX1,proximity
Ascend GX1,compass
Ascend Mate7 Monarch,Fingerprint (rear-mounted)
Ascend Mate7 Monarch,accelerometer
Ascend Mate7 Monarch,gyro
Ascend Mate7 Monarch,proximity
Ascend Mate7 Monarch,compass
MediaPad T1 10,Accelerometer
MediaPad T1 8.0,Accelerometer
MediaPad T1 8.0,proximity
Ascend G620s,Accelerometer
Ascend G620s,proximity
Ascend Y550,Accelerometer
Ascend Y550,proximity
Ascend Y550,compass
Ascend G7,Accelerometer
Ascend G7,proximity
Ascend G7,compass
Ascend Mate7,Fingerprint (rear-mounted)
Ascend Mate7,accelerometer
Ascend Mate7,gyro
Ascend Mate7,proximity
Ascend Mate7,compass
Ascend G535,Accelerometer
Ascend G535,proximity
Ascend G630,Accelerometer
Ascend G630,proximity
Ascend Y330,Accelerometer
Ascend P7,Accelerometer
Ascend P7,proximity
Ascend P7,compass
Ascend P7 mini,Accelerometer
Ascend P7 mini,proximity
Ascend P7 mini,compass
Ascend G730,Accelerometer
Ascend G730,proximity
Ascend Y600,Accelerometer
Ascend Y600,proximity
MediaPad 10 Link+,Accelerometer
Ascend G6 4G,Accelerometer
Ascend G6 4G,proximity
Ascend G6 4G,compass
Ascend G6,Accelerometer
Ascend G6,proximity
Ascend G6,compass
MediaPad M1,Accelerometer
MediaPad M1,proximity
MediaPad M1,compass
MediaPad X1,Accelerometer
MediaPad X1,gyro
MediaPad X1,proximity
MediaPad X1,compass
Ascend Y530,Accelerometer
Ascend Y530,proximity
MediaPad 7 Youth2,Accelerometer
Ascend P6 S,Accelerometer
Ascend P6 S,gyro
Ascend P6 S,proximity
Ascend P6 S,compass
Ascend Mate2 4G,Accelerometer
Ascend Mate2 4G,gyro
Ascend Mate2 4G,proximity
Ascend Mate2 4G,compass
Ascend Y320,Accelerometer
Ascend Y320,proximity
Ascend Y220,Accelerometer
Ascend G740,Accelerometer
Ascend G740,proximity
Ascend G740,compass
Ascend Y511,Accelerometer
Ascend Y511,proximity
Ascend W2,Accelerometer
Ascend W2,proximity
G610s,Accelerometer
G610s,proximity
MediaPad 7 Youth,Accelerometer
MediaPad 7 Vogue,Accelerometer
MediaPad 7 Vogue,proximity
Ascend P6,Accelerometer
Ascend P6,gyro
Ascend P6,proximity
Ascend P6,compass
Ascend P6,temperature
Ascend Y300,Accelerometer
Ascend Y300,proximity
Premia 4G M931,Accelerometer
Premia 4G M931,proximity
Premia 4G M931,compass
Ascend P2,Accelerometer
Ascend P2,gyro
Ascend P2,proximity
Ascend P2,compass
Ascend G615,Accelerometer
Ascend G615,gyro
Ascend G615,proximity
Ascend G615,compass
Ascend G526,Accelerometer
Ascend G526,proximity
Ascend G526,compass
Ascend G350,Accelerometer
Ascend G350,proximity
Ascend G350,compass (optional)
Ascend W1,Accelerometer
Ascend W1,proximity
Ascend Mate,Accelerometer
Ascend Mate,gyro
Ascend Mate,proximity
Ascend Mate,compass
Ascend D2,Accelerometer
Ascend D2,gyro
Ascend D2,proximity
Ascend D2,compass
Ascend G510,Accelerometer
Ascend G510,proximity
Ascend G510,compass
Ascend P1 LTE,Accelerometer
Ascend P1 LTE,gyro
Ascend P1 LTE,proximity
Ascend P1 LTE,compass
Ascend G600,Accelerometer
Ascend G600,proximity
Ascend G600,compass
Ascend G330,Accelerometer
Ascend G330,proximity
Ascend G330D U8825D,Accelerometer
Ascend G330D U8825D,proximity
Ascend G330D U8825D,compass
Ascend P1,Accelerometer
Ascend P1,gyro
Ascend P1,proximity
Ascend P1,compass
MediaPad 10 FHD,Accelerometer
MediaPad 10 FHD,gyro
MediaPad 10 FHD,compass
Ascend D1 XL U9500E,Accelerometer
Ascend D1 XL U9500E,gyro
Ascend D1 XL U9500E,proximity
Ascend D1 XL U9500E,compass
Ascend D1,Accelerometer
Ascend D1,gyro
Ascend D1,proximity
Ascend D1,compass
Ascend D quad XL,Accelerometer
Ascend D quad XL,gyro
Ascend D quad XL,proximity
Ascend D quad XL,compass
Ascend D quad,Accelerometer
Ascend D quad,gyro
Ascend D quad,proximity
Ascend D quad,compass
Ascend P1s,Accelerometer
Ascend P1s,gyro
Ascend P1s,proximity
Ascend P1s,compass
MediaPad,Accelerometer
MediaPad,gyro
MediaPad,compass
MediaPad S7-301w,Accelerometer
MediaPad S7-301w,gyro
MediaPad S7-301w,compass
Smart 8 Plus,Fingerprint (side-mounted)
Smart 8 Plus,accelerometer
Smart 8 Plus,proximity
Smart 8 Plus,compass
Smart 8 Pro,Fingerprint (side-mounted)
Smart 8 Pro,accelerometer
Smart 8 Pro,gyro
Smart 8 Pro,proximity
Smart 8 Pro,compass
Smart 8 (India),Fingerprint (side-mounted)
Smart 8 (India),accelerometer
Smart 8 (India),proximity
Smart 8 (India),compass
Smart 8 HD,Fingerprint (side-mounted)
Smart 8 HD,accelerometer
Smart 8 HD,proximity
Smart 8 HD,compass
Smart 8,Fingerprint (side-mounted)
Smart 8,accelerometer
Smart 8,proximity
Smart 8,compass
Zero 30 4G,Fingerprint (under display
Zero 30 4G,optical)
Zero 30 4G,accelerometer
Zero 30 4G,gyro
Zero 30 4G,proximity
Zero 30 4G,compass
Zero 30,Fingerprint (under display
Zero 30,optical)
Zero 30,accelerometer
Zero 30,gyro
Zero 30,proximity
Zero 30,compass
GT 10 Pro,Fingerprint (under display
GT 10 Pro,optical)
GT 10 Pro,accelerometer
GT 10 Pro,proximity
GT 10 Pro,compass
GT 10 Pro,gyro
Note 30 VIP,Fingerprint (under display
Note 30 VIP,optical)
Note 30 VIP,accelerometer
Note 30 VIP,gyro
Note 30 VIP,proximity
Note 30 VIP,compass
Smart 7 HD,Fingerprint (rear-mounted)
Smart 7 HD,accelerometer
Smart 7 HD,proximity
Hot 30i,Fingerprint (side-mounted)
Hot 30i,accelerometer
Hot 30i,proximity
Hot 30i,compass
Smart 7 (India),Fingerprint (rear-mounted)
Smart 7 (India),accelerometer
Smart 7 (India),proximity
Smart 7 (India),compass
Note 12 (2023),Fingerprint (side-mounted)
Note 12 (2023),accelerometer
Note 12 (2023),gyro
Note 12 (2023),proximity
Note 12 (2023),compass
Zero Ultra,Fingerprint (under display
Zero Ultra,optical)
Zero Ultra,accelerometer
Zero Ultra,gyro
Zero Ultra,proximity
Zero Ultra,compass
Hot 20 5G,Fingerprint (side-mounted)
Hot 20 5G,accelerometer
Hot 20 5G,proximity
Hot 20 5G,compass
Hot 20i,Fingerprint (rear-mounted)
Hot 20i,accelerometer
Hot 20i,proximity
Zero 20,Fingerprint (side-mounted)
Zero 20,accelerometer
Zero 20,gyro
Zero 20,proximity
Zero 20,compass
Note 12i 2022,Fingerprint (side-mounted)
Note 12i 2022,accelerometer
Note 12i 2022,gyro
Note 12i 2022,proximity
Note 12i 2022,compass
Hot 12 Pro,Fingerprint (rear-mounted)
Hot 12 Pro,accelerometer
Hot 12 Pro,proximity
Hot 12 Pro,compass
Smart 6 Plus (India),Fingerprint (rear-mounted)
Smart 6 Plus (India),accelerometer
Smart 6 Plus (India),proximity
Note 12 Pro,Fingerprint (side-mounted)
Note 12 Pro,accelerometer
Note 12 Pro,proximity
Note 12 Pro,gyro
Note 12 Pro,compass
Note 12 Pro 5G,Fingerprint (side-mounted)
Note 12 Pro 5G,accelerometer
Note 12 Pro 5G,gyro
Note 12 Pro 5G,proximity
Note 12 Pro 5G,compass
Note 12 5G,Fingerprint (side-mounted)
Note 12 5G,accelerometer
Note 12 5G,gyro
Note 12 5G,proximity
Note 12 5G,compass
Hot 12 Play,Fingerprint (rear-mounted)
Hot 12 Play,accelerometer
Hot 12 Play,proximity
Hot 12 Play,compass
Note 12 VIP,Fingerprint (side-mounted)
Note 12 VIP,accelerometer
Note 12 VIP,gyro
Note 12 VIP,proximity
Note 12 VIP,compass
Note 12 G96,Fingerprint (side-mounted)
Note 12 G96,accelerometer
Note 12 G96,gyro
Note 12 G96,proximity
Note 12 G96,compass
Note 12,Fingerprint (side-mounted)
Note 12,accelerometer
Note 12,gyro
Note 12,proximity
Note 12,compass
Hot 12,Fingerprint (side-mounted)
Hot 12,accelerometer
Hot 12,proximity
Hot 12,compass
Hot 11 2022,Fingerprint (side-mounted)
Hot 11 2022,accelerometer
Hot 11 2022,proximity
Hot 12i,Fingerprint (rear-mounted)
Hot 12i,accelerometer
Hot 12i,proximity
Note 11,Fingerprint (side-mounted)
Note 11,accelerometer
Note 11,gyro
Note 11,proximity
Note 11,compass
Hot 11,Fingerprint (rear-mounted)
Hot 11,accelerometer
Hot 11,gyro
Hot 11,proximity
Hot 11,compass
Zero X Pro,Fingerprint (under display
Zero X Pro,optical)
Zero X Pro,accelerometer
Zero X Pro,gyro
Zero X Pro,proximity
Zero X Pro,compass
Zero X,Fingerprint (under display
Zero X,optical)
Zero X,accelerometer
Zero X,gyro
Zero X,proximity
Zero X,compass
Smart HD 2021,Fingerprint (rear-mounted)
Smart HD 2021,accelerometer
Smart HD 2021,proximity
Smart 5,Fingerprint (rear-mounted)
Smart 5,accelerometer
Smart 5,gyro
Smart 5,proximity
Note 7 Lite,Fingerprint (side-mounted)
Note 7 Lite,accelerometer
Note 7 Lite,proximity
Note 7 Lite,compass
Hot 9 Pro,Fingerprint (rear-mounted)
Hot 9 Pro,accelerometer
Hot 9 Pro,gyro
Hot 9 Pro,proximity
Hot 9 Pro,compass
Hot 9,Fingerprint (rear-mounted)
Hot 9,accelerometer
Hot 9,gyro
Hot 9,proximity
Hot 9,compass
S5 Pro,Fingerprint (rear-mounted)
S5 Pro,accelerometer
S5 Pro,gyro
S5 Pro,proximity
S5 Pro,compass
S5 lite,Fingerprint (rear-mounted)
S5 lite,accelerometer
S5 lite,proximity
S5 lite,compass
S5,Fingerprint (rear-mounted)
S5,accelerometer
S5,gyro
S5,proximity
S5,compass
Note 6,Fingerprint (rear-mounted)
Note 6,accelerometer
Note 6,gyro
Note 6,proximity
Note 6,compass
Hot 7 Pro,Fingerprint (rear-mounted)
Hot 7 Pro,accelerometer
Hot 7 Pro,proximity
Hot 7 Pro,compass
Hot 7,Fingerprint (rear-mounted)
Hot 7,accelerometer
Hot 7,proximity
Hot 7,compass
Tab M11,Accelerometer
Tab M11,gyro
Tab M11,proximity (accessories only)
Legion Y700 (2023),Accelerometer
Legion Y700 (2023),gyro
Legion Y700 (2023),proximity
Legion Y700 (2023),compass
Tab P12,Fingerprint (side-mounted)
Tab P12,accelerometer
Tab P12,gyro
Tab P12,compass
Tab M10,Unspecified
Tab Extreme,Fingerprint (side-mounted)
Tab Extreme,accelerometer
Tab Extreme,gyro
Tab Extreme,compass
Tab M9,Accelerometer
Tab M9,proximity
Tab M8 (4th Gen),Accelerometer
Tab M8 (4th Gen),proximity
Tab P11 Gen 2,Accelerometer
Tab P11 Gen 2,gyro
Tab P11 Gen 2,proximity
Tab P11 Pro Gen 2,Accelerometer
Tab P11 Pro Gen 2,gyro
Tab P11 Pro Gen 2,proximity
Tab P11 Pro Gen 2,compass
Tab M10 Gen 3,Accelerometer
Tab M10 Gen 3,proximity
Legion Y70,Fingerprint (side-mounted)
Legion Y70,accelerometer
Legion Y70,gyro
Legion Y70,proximity
Legion Y70,compass
Tab M10 Plus (3rd Gen),Accelerometer
Tab M10 Plus (3rd Gen),proximity
Tab M10 Plus (3rd Gen),gyro
Legion Y700,Accelerometer
Legion Y700,gyro
Legion Y700,proximity
Legion Y700,compass
K14 Plus,Fingerprint (rear-mounted)
K14 Plus,accelerometer
K14 Plus,proximity
Tab K10,Accelerometer
Tab K10,gyro
Tab K10,proximity
Tab K10,compass
Tab P12 Pro,Fingerprint (side-mounted)
Tab P12 Pro,accelerometer
Tab P12 Pro,gyro
Tab P12 Pro,proximity
Tab P11 5G,Accelerometer
Tab P11 5G,gyro
Tab P11 5G,proximity
K13,Fingerprint (rear-mounted)
K13,accelerometer
K13,proximity
Tab P11 Plus,Accelerometer
Tab P11 Plus,gyro
Tab P11 Plus,proximity
Tab M7 (3rd Gen),Accelerometer
K13 Note,Fingerprint (rear-mounted)
K13 Note,accelerometer
K13 Note,gyro
K13 Note,proximity
Pad Pro,Infrared Face ID
Pad Pro,fingerprint (side-mounted)
Pad Pro,accelerometer
Pad Pro,gyro
Pad Pro,proximity
Pad Plus,Face recognition
Pad Plus,accelerometer
Pad Plus,gyro
Pad Plus,proximity
Pad,Face recognition
Pad,accelerometer
Pad,gyro
Pad,proximity
K12 (China),Fingerprint (rear-mounted)
K12 (China),accelerometer
K12 (China),proximity
A8 2020,Fingerprint (rear-mounted)
A8 2020,accelerometer
A8 2020,proximity
Tab P11 Pro,Fingerprint (side-mounted)
Tab P11 Pro,accelerometer
Tab P11 Pro,gyro
Tab P11 Pro,proximity
Tab P11,Accelerometer
Tab P11,gyro
Tab P11,proximity
Tab M10 HD Gen 2,Accelerometer
Tab M10 HD Gen 2,proximity
Legion Duel,Fingerprint (under display
Legion Duel,optical)
Legion Duel,accelerometer
Legion Duel,gyro
Legion Duel,proximity
Legion Duel,compass
M10 Plus,Accelerometer
K10 Note,Fingerprint (rear-mounted)
K10 Note,accelerometer
K10 Note,gyro
K10 Note,proximity
K10 Note,compass
A6 Note,Fingerprint (rear-mounted)
A6 Note,accelerometer
A6 Note,proximity
Tab M8 (FHD),Accelerometer
Tab M8 (FHD),proximity
Tab M8 (HD),Accelerometer
Tab M8 (HD),proximity
Tab M7,Accelerometer
Z6,Fingerprint (under display
Z6,optical)
Z6,accelerometer
Z6,proximity
Z6,compass
Z6 Pro 5G,Fingerprint (under display
Z6 Pro 5G,optical)
Z6 Pro 5G,accelerometer
Z6 Pro 5G,gyro
Z6 Pro 5G,proximity
Z6 Pro 5G,compass
Z6 Youth,Fingerprint (rear-mounted)
Z6 Youth,accelerometer
Z6 Youth,proximity
Z6 Youth,compass
Z6 Pro,Fingerprint (under display
Z6 Pro,optical)
Z6 Pro,accelerometer
Z6 Pro,gyro
Z6 Pro,proximity
Z6 Pro,compass
K6 Enjoy,Fingerprint (rear-mounted)
K6 Enjoy,accelerometer
K6 Enjoy,proximity
Tab V7,Fingerprint (rear-mounted)
Tab V7,accelerometer
Tab V7,proximity
Tab V7,compass
S5 Pro GT,Infrared Face ID
S5 Pro GT,fingerprint (rear-mounted)
S5 Pro GT,accelerometer
S5 Pro GT,gyro
S5 Pro GT,proximity
S5 Pro GT,compass
Z5s,Fingerprint (rear-mounted)
Z5s,accelerometer
Z5s,gyro
Z5s,proximity
Z5s,compass
Z5 Pro GT,Infrared Face ID
Z5 Pro GT,fingerprint (under display
Z5 Pro GT,optical)
Z5 Pro GT,accelerometer
Z5 Pro GT,gyro
Z5 Pro GT,proximity
Z5 Pro GT,compass
